movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
book club,"comedy,drama,romance",600,68566296,10000000,8.05,9364.0,Erin Simms,"actress,miscellaneous,producer",2015-05-13 00:00:00,2018,104.0,Paramount…,"3,169"
mad max: fury road,"action,adventure,sci-fi",100,153636354,150000000,7.75,397682.0,George Miller,"producer,writer,director",2015-05-15 00:00:00,2015,120.0,Warner Bros.,"3,722"
pitch perfect 2,"comedy,music",600,184296230,29000000,6.6,67145.0,Kay Cannon,"producer,writer,miscellaneous",2015-05-15 00:00:00,2015,115.0,Universal,"3,660"
area 51,"horror,sci-fi,thriller",0,7556,5000000,4.300000000000001,5892.0,Christopher Denham,"actor,writer,director",2015-05-15 00:00:00,2015,91.0,Paramount…,16
before we go,"comedy,drama,romance",0,37151,3000000,6.65,23083.0,Ronald Bass,"writer,producer,actor",2015-05-21 00:00:00,2014,95.0,Radius,21
tomorrowland,"action,adventure,family",0,93436322,170000000,6.300000000000001,82976.0,Brad Bird,"miscellaneous,writer,director",2015-05-22 00:00:00,2015,130.0,Walt Disney,"3,972"
poltergeist,"horror,thriller",100,47425125,35000000,5.0,26488.0,Steven Spielberg,"producer,writer,director",2015-05-22 00:00:00,2015,93.0,20th Cent…,"3,242"
drunk wedding,comedy,0,3301,600000,4.25,372.0,Nick Weiss,"director,writer,assistant_director",2015-05-22 00:00:00,2015,81.0,Paramount…,16
san andreas,"action,adventure,drama",100,155190832,110000000,6.1,98937.0,Carlton Cuse,"writer,producer,actor",2015-05-29 00:00:00,2015,114.0,Warner Bros.,"3,812"
aloha,"comedy,drama,romance",0,21052030,37000000,5.35,27936.0,Cameron Crowe,"writer,producer,director",2015-05-29 00:00:00,2015,105.0,Sony Pict…,"2,815"
entourage,comedy,100,32363404,30000000,6.4,36083.0,Doug Ellin,"writer,producer,director",2015-06-03 00:00:00,2015,104.0,Warner Bros.,"3,108"
jurassic world,"action,adventure,sci-fi",300,652270625,215000000,6.8,276697.0,Michael Crichton,"writer,producer,director",2015-06-12 00:00:00,2015,124.0,Universal,"4,291"
me and earl and the dying girl,"comedy,drama,romance",0,6758416,8000000,7.699999999999999,57098.0,Jesse Andrews,"writer,director",2015-06-12 00:00:00,2015,105.0,Fox Searc…,870
dope,"comedy,crime,drama",200,17506470,7000000,7.2,38755.0,Rick Famuyiwa,"producer,director,writer",2015-06-19 00:00:00,2015,103.0,Open Road,"2,002"
manglehorn,drama,0,132270,4000000,5.5,3329.0,Paul Brad Logan,"director,writer,transportation_department",2015-06-19 00:00:00,2014,97.0,IFC Films,27
ted 2,comedy,100,81476385,68000000,6.199999999999999,85035.0,Seth MacFarlane,"writer,music_department,producer",2015-06-26 00:00:00,2015,115.0,Universal,"3,448"
max,"adventure,drama,family",200,42656255,20000000,6.8,12191.0,Sheldon Lettich,"writer,director,producer",2015-06-26 00:00:00,2015,111.0,Warner Bros.,"2,870"
windsor drive,"mystery,thriller",0,3256,850000,2.85,98.0,Tommy O'Reilly,"actor,writer,producer",2015-06-26 00:00:00,2015,90.0,Indican P…,2
magic mike xxl,"comedy,drama,music",400,66013057,14500000,5.9,24803.0,Reid Carolin,"producer,writer,executive",2015-07-01 00:00:00,2015,115.0,Warner Bros.,"3,355"
self/less,"action,mystery,sci-fi",0,12279691,26000000,6.4,41279.0,David Pastor,"writer,producer,director",2015-07-10 00:00:00,2015,117.0,Focus Fea…,"2,353"
minions,"adventure,animation,comedy",400,336045770,74000000,6.4,100630.0,Brian Lynch,"writer,actor,director",2015-07-10 00:00:00,2015,91.0,Universal,"4,311"
the gallows,"horror,mystery,thriller",22700,22764410,100000,4.5,9177.0,Chris Lofing,"producer,director,writer",2015-07-10 00:00:00,2015,81.0,Warner Bros.,"2,720"
ant-man,"action,adventure,comedy",100,180202163,130000000,7.199999999999999,256581.0,Joe Cornish,"writer,director,editor",2015-07-17 00:00:00,2015,117.0,Walt Disney,"3,868"
trainwreck,"comedy,drama,romance",300,110212700,35000000,6.0,61795.0,Amy Schumer,"writer,actress,producer",2015-07-17 00:00:00,2015,125.0,Universal,"3,171"
bajrangi bhaijaan,"action,comedy,drama",0,8178001,13000000,7.95,31989.0,Kabir Khan,"director,producer,writer",2015-07-17 00:00:00,2015,163.0,Eros Ente…,257
paper towns,"comedy,drama,mystery",200,32000304,12000000,6.15,45664.0,John Green,"producer,writer,director",2015-07-24 00:00:00,2015,109.0,20th Cent…,"3,031"
the vatican tapes,"horror,thriller",0,1784763,13000000,4.8,7593.0,Christopher Borrelli,"writer,producer,visual_effects",2015-07-24 00:00:00,2015,91.0,Lionsgate,427
fantastic four,"action,adventure,drama",0,56117548,120000000,4.35,71992.0,Jack Kirby,"writer,animation_department,miscellaneous",2015-08-07 00:00:00,2015,100.0,20th Cent…,"4,004"
