movie_name,genres,percentage_ROI_gross_budget,gross,budget,opening_weekend_boxoffice,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
trespass,"crime,drama,thriller",0.05,16816.0,35000000.0,16816.0,5.4,19996.0,Karl Gajdusek,"writer,producer,miscellaneous",2011-10-14 00:00:00,2011,91.0,Alchemy,10
footloose,"comedy,drama,music",215.84,51802742.0,24000000.0,15556113.0,6.25,22090.0,Craig Brewer,"director,producer,writer",2011-10-14 00:00:00,2011,113.0,Paramount…,"3,555"
the artist,"comedy,drama,romance",279.17,44667095.0,16000000.0,204878.0,7.65,109485.0,Michel Hazanavicius,"writer,director,actor",2011-10-14 00:00:00,2011,100.0,Weinstein…,"1,756"
the big year,comedy,17.57,7204138.0,41000000.0,3251884.0,6.0,19957.0,Howard Franklin,"writer,director,producer",2011-10-14 00:00:00,2011,100.0,20th Cent…,"2,150"
johnny english reborn,"action,adventure,comedy",18.68,8406711.0,45000000.0,3833300.0,6.199999999999999,56317.0,William Davies,"writer,producer,miscellaneous",2011-10-21 00:00:00,2011,101.0,Universal,"1,554"
paranormal activity 3,"horror,mystery,thriller",2080.58,104028807.0,5000000.0,52568183.0,5.85,43443.0,Christopher Landon,"writer,producer,director",2011-10-21 00:00:00,2011,83.0,Paramount…,"3,329"
margin call,"drama,thriller",157.46,5353586.0,3400000.0,561906.0,6.949999999999999,54060.0,J.C. Chandor,"producer,director,writer",2011-10-21 00:00:00,2011,107.0,Roadside …,199
martha marcy may marlene,"drama,mystery,thriller",298.1,2981038.0,1000000.0,137651.0,6.800000000000001,23143.0,Sean Durkin,"producer,director,actor",2011-10-21 00:00:00,2011,102.0,Fox Searc…,183
le havre,"comedy,drama",11.12,611709.0,5500000.0,26363.0,7.050000000000001,9329.0,Aki Kaurismäki,"producer,writer,director",2011-10-21 00:00:00,2011,93.0,Janus Films,25
the rum diary,"comedy,drama",29.13,13109815.0,45000000.0,5135369.0,5.95,47719.0,Bruce Robinson,"actor,writer,director",2011-10-27 00:00:00,2011,119.0,FilmDistrict,"2,292"
in time,"action,crime,drama",107.3,37553932.0,35000000.0,12050368.0,6.75,176161.0,Andrew Niccol,"writer,director,producer",2011-10-28 00:00:00,2011,109.0,20th Cent…,"3,127"
like crazy,"drama,romance",1358.16,3395391.0,250000.0,123140.0,6.6,28239.0,Ben York Jones,"writer,actor,producer",2011-10-28 00:00:00,2011,86.0,Paramount…,162
puss in boots,"action,adventure,animation",114.82,149260504.0,130000000.0,34077439.0,6.449999999999999,67388.0,Andrew Adamson,"producer,writer,director",2011-10-28 00:00:00,2011,90.0,Paramount…,"3,963"
october baby,drama,535.58,5355847.0,1000000.0,34038.0,6.8,3479.0,Jon Erwin,"director,producer,writer",2011-10-30 00:00:00,2011,107.0,Five & Tw…,398
plush,"drama,music,thriller",0.15,3080.0,2000000.0,2843.0,6.45,1731.0,Catherine Hardwicke,"director,production_designer,producer",2011-10-31 00:00:00,2013,99.0,IM Global…,10
dylan dog: dead of night,"action,comedy,crime",5.93,1186538.0,20000000.0,754779.0,4.75,7181.0,Thomas Dean Donnelly,writer,2011-11-01 00:00:00,2010,107.0,Omin/Free…,875
tower heist,"action,comedy,crime",91.82,78046570.0,85000000.0,24025190.0,6.1,63347.0,Bill Collage,"writer,producer",2011-11-04 00:00:00,2011,104.0,Universal,"3,370"
the son of no one,"action,crime,drama",0.2,30680.0,15000000.0,18015.0,5.1,7949.0,Dito Montiel,"director,writer,soundtrack",2011-11-04 00:00:00,2011,90.0,Anchor Ba…,10
haywire,"action,drama,thriller",82.36,18942396.0,23000000.0,8425370.0,5.699999999999999,39714.0,Lem Dobbs,"writer,producer,miscellaneous",2011-11-06 00:00:00,2011,93.0,Relativity,"2,441"
j. edgar,"biography,crime,drama",106.59,37306030.0,35000000.0,11217324.0,6.4,58614.0,Dustin Lance Black,"writer,producer,miscellaneous",2011-11-09 00:00:00,2011,137.0,Warner Bros.,"1,985"
immortals,"action,drama,fantasy",111.34,83504017.0,75000000.0,32206425.0,5.9,77211.0,Charley Parlapanides,"writer,producer,miscellaneous",2011-11-11 00:00:00,2011,110.0,Relativity,"3,120"
jack and jill,comedy,93.87,74158157.0,79000000.0,25003575.0,3.6999999999999997,36242.0,Adam Sandler,"actor,producer,writer",2011-11-11 00:00:00,2011,91.0,Sony Pict…,"3,438"
home,horror,136.46,177397510.0,130000000.0,52107731.0,5.1,3273.0,Nicholas McCarthy,"director,writer,soundtrack",2011-11-11 00:00:00,2014,91.0,20th Cent…,"3,801"
home,"adventure,animation,comedy",136.46,177397510.0,130000000.0,52107731.0,6.0,42921.0,Tom J. Astle,"writer,producer,miscellaneous",2011-11-11 00:00:00,2015,94.0,20th Cent…,"3,801"
happy feet two,"adventure,animation,comedy",47.41,64006466.0,135000000.0,21237068.0,5.9,19575.0,George Miller,"producer,writer,director",2011-11-17 00:00:00,2011,100.0,Warner Bros.,"3,611"
